dataset,reported_as,noise_type,noise_rate,graph_beta,seed,method,review_budget,topk_recall,precision
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.88,1.0,0.5681136080813997
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.9,1.0,0.555507837663732
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.92,1.0,0.5434112869346029
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.9400000000000001,1.0,0.5318667763157895
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.9600000000000001,1.0,0.5207676306783869
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,0.98,1.0,0.5101557878130546
cicids2017,CICIDS-2017,clean,0.0,none,0,Confident-Learning,1.0,1.0,0.49996778973136635
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.02,0.03994330627496457,0.9967845659163987
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.04,0.07988661254992914,0.998389694041868
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.06,0.11995876819997423,0.9989270386266095
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.08,0.15977322509985828,0.998389694041868
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.1,0.19984538074990335,0.9987121699935608
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.12000000000000001,0.23978868702486794,0.9989264626945786
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.13999999999999999,0.279860842674913,0.9990800367985281
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.16,0.3198041489498776,0.999194847020934
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.18,0.3598763045999227,0.9992844364937388
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.19999999999999998,0.39981961087488727,0.9993558776167472
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.22,0.43989176652493234,0.9994145199063232
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.24,0.4798350727998969,0.9994632313472893
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.26,0.5197783790748615,0.9995044598612488
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.28,0.5598505347249065,0.9995399125833908
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.30000000000000004,0.5997938409998711,0.9995705389735882
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.32,0.6398659966499163,0.999597423510467
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.34,0.6798093029248808,0.9996210685865858
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.36000000000000004,0.7198814585749259,0.9996421542315262
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.38,0.7598247648498905,0.9996609594846584
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.4,0.7998969204999355,0.9996779388083736
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.42000000000000004,0.8398402267749001,0.9996932515337423
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.44,0.8799123824249453,0.9997072170985214
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.46,0.9198556886999099,0.9997199271810671
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.48000000000000004,0.9599278443499549,0.9997316156736447
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.5,0.999742301249839,0.9996135016748261
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.52,0.999742301249839,0.9612239841427156
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.54,0.999742301249839,0.9255636407014195
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.56,0.999742301249839,0.8925572299551363
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.5800000000000001,0.999742301249839,0.8617281208351844
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.6,0.999742301249839,0.8330470259823921
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.62,0.9998711506249195,0.8062337662337662
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.64,0.9998711506249195,0.7810770005032712
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.66,0.9998711506249195,0.757368729260199
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.68,0.9998711506249195,0.7351269420234937
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.7000000000000001,0.9998711506249195,0.7140885248918745
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.7200000000000001,1.0,0.6943723718350183
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.74,1.0,0.6755745125348189
