dataset,reported_as,dataset_hash,actual_data_path,class_policy,num_classes,sample_policy,sample_size,sample_seed,sampling_stratified,noise_type,noise_rate,graph_beta,seed,split_id,noise_seed,model_seed,method,method_family,implementation_status,macro_f1,fpr,fnr,err,err_tail,err_final,compression_ratio,mean_weight,retained_fraction,retained_fraction_clean_informative,n_eff_ratio,runtime_sec,memory_mb,active_views,source_verified,replacement_for,faithfulness_level,baseline_source,smoke_passed,implementation_notes
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.4,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5444240444158999,0.1911933354971329,0.0171926201912286,0.1083067652543698,0.1762366041127658,0.1422716846835678,0.9963451776649748,0.0633202146577009,0.0633202146577009,0.0797060067681895,0.0633202146577009,13.78542580001522,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.6,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5455686908523897,0.2318078545926647,0.0084302195089105,0.1611351986349116,0.2899426216150331,0.2255389101249723,0.9974492385786802,0.0820797621823638,0.0820797621823638,0.1020463197969543,0.0820797621823638,13.930512099992484,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.1,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5868050854768818,0.2377799415774099,0.017264443147641,0.1379989719641544,0.1030572677528186,0.1205281198584865,0.9998984771573604,0.110775873692693,0.110775873692693,0.1676254935138184,0.110775873692693,14.096430799982045,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.2,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5888812083050914,0.2232392080493346,0.0577187233469497,0.0556386309944917,0.1034941898601324,0.0795664104273121,0.99996192893401,0.0655981370528823,0.0655981370528823,0.0448464277500654,0.0655981370528823,13.90351869998267,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.4,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5757957642791859,0.2507194633776912,0.0520806212685729,0.0881417009427998,0.1387586350320538,0.1134501679874268,0.9996827411167512,0.0964167138590004,0.0964167138590004,0.0794195612914127,0.0964167138590004,13.99076029995922,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,asymmetric,0.6,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.571147094128181,0.2990371091636914,0.0836378327422902,0.2692712914120065,0.3223442948202358,0.2958077931161211,0.9946700507614212,0.3565789285833258,0.3565789285833258,0.3023001269035533,0.3565789285833258,15.39862059999723,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.1,0.0,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.504214308122475,0.3181650979119333,0.002118777214167,0.2414033428581685,0.313648774270934,0.2775260585645513,0.9794733502538072,0.2523163900957965,0.2523163900957965,0.2318950930626057,0.2523163900957965,15.064399200025946,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.1,0.6,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5925233912808324,0.3266688304662988,0.0022983346051981,0.2111095616123618,0.16324536372156,0.1871774626669609,0.9951522842639594,0.2243690107376439,0.2243690107376439,0.2479836435420191,0.2243690107376439,15.075689799967222,422.1735534667969,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.2,0.0,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.6504501343988947,0.1711781888997079,0.0675584683754545,0.1094166470280769,0.1693890013114238,0.1394028241697503,0.9983756345177665,0.0764150958361291,0.0764150958361291,0.083240139275545,0.0764150958361291,13.911732600012328,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.2,0.6,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5445361278678708,0.4104727902196257,0.0001346680432733,0.2312315136793511,0.1900276982317799,0.2106296059555655,0.9837436548223352,0.2352002461932839,0.2352002461932839,0.2671399111675127,0.2352002461932839,14.977725900011135,422.1735534667969,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.4,0.0,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5444240444158999,0.1911933354971329,0.0171926201912286,0.1083067652543698,0.1762366041127658,0.1422716846835678,0.9963451776649748,0.0633202146577009,0.0633202146577009,0.0797060067681895,0.0633202146577009,13.901677399990149,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.4,0.6,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5660541946167109,0.3580655631288543,0.0009965435202226,0.2039839935050616,0.252924290883007,0.2284541421940343,0.9866434010152284,0.1621369957756912,0.1621369957756912,0.1879124365482233,0.1621369957756912,14.420550200040452,422.1735534667969,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.6,0.0,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.5455686908523897,0.2318078545926647,0.0084302195089105,0.1611351986349116,0.2899426216150331,0.2255389101249723,0.9974492385786802,0.0820797621823638,0.0820797621823638,0.1020463197969543,0.0820797621823638,13.987387500004845,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.6,0.6,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.4310426890649328,0.6798442064264849,8.977869551555417e-06,0.4002015285655753,0.3821336568613634,0.3911675927134693,0.9950444162436548,0.3847134909795225,0.3847134909795225,0.4303458121827411,0.3847134909795225,15.980059200024698,422.1735534667969,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,clean,0.0,none,2,3866904ffe7cc9a5,2,2,Decoupling,decoupling,implemented_smoke_passed,0.4621266056108079,0.2782646326950124,0.0227409435740898,1.0,1.0,1.0,0.9926332487309644,0.1191071051825907,0.1191071051825907,0.1191071051825907,0.1191071051825907,14.302585199999156,422.1744613647461,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.1,none,2,3866904ffe7cc9a5,2,2,Decoupling,decoupling,implemented_smoke_passed,0.5858164752109916,0.3750297522449421,0.0074606095973425,0.072708690830994,0.1116381042384982,0.0921733975347461,0.9977791878172588,0.0621574590061215,0.0621574590061215,0.0594190637337845,0.0621574590061215,13.877513000043107,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
