dataset,reported_as,dataset_hash,actual_data_path,class_policy,num_classes,sample_policy,sample_size,sample_seed,sampling_stratified,noise_type,noise_rate,graph_beta,seed,split_id,noise_seed,model_seed,method,macro_f1,fpr,fnr,tail_recall,err,err_tail,err_final,compression_ratio,mean_weight,retained_fraction,retained_fraction_clean_informative,n_eff_ratio,runtime_sec,memory_mb,active_views,source_verified,replacement_for
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,0,8dde8f9aa7025983,0,0,ablation_hard,0.9954557362884432,0.003003003003003,0.0,0.997907402563432,0.942401138152065,0.9495825176710662,0.9459918279115656,0.972842535787321,0.5970060737438393,0.5970060737438393,0.9867936393855,0.5970060737438393,0.5853628999902867,21.99171733856201,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,1,6fde7f9c9f8d0227,1,1,CoLD,0.9940005160523012,0.012012012012012012,8.409014463504877e-05,0.9947685064085796,0.8712927773768853,0.872242503522394,0.8717676404496396,0.9949284253578732,0.5910345814842839,0.5910345814842839,0.959494371655287,0.5910345814842839,0.3025978999794461,19.64919948577881,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,1,6fde7f9c9f8d0227,1,1,Graph-CoLD,0.9944847390047656,0.015015015015015,0.00016818028927,0.9960763798064348,1.0,1.0,1.0,0.9949284253578732,0.5921217731625348,0.6000122701895745,1.0,0.5992588145679566,0.5349225000245497,19.93602752685547,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,1,6fde7f9c9f8d0227,1,1,ablation_hard,0.9937459984401086,0.015015015015015,0.00016818028927,0.9952916557677216,0.9442860587420646,0.9500754768003836,0.947180767771224,0.9949284253578732,0.5970060737438393,0.5970060737438393,0.9864366119210186,0.5970060737438393,0.539569600019604,19.89812660217285,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,2,091f7f858b750a40,2,2,CoLD,0.9918961542973986,0.006006006006006006,0.00042045072317524387,0.9926759089720115,0.8746368428490207,0.8774310676783295,0.8760339552636751,0.9903476482617587,0.5910345814842839,0.5910345814842839,0.9595242485709017,0.5910345814842839,0.31400919996667653,19.651211738586426,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,2,091f7f858b750a40,2,2,Graph-CoLD,0.9949096829404124,0.006006006006006,0.0,0.997907402563432,1.0,1.0,1.0,0.9729243353783232,0.5921273632528687,0.6000122701895745,1.0,0.5992773739641442,0.7826951000024565,22.27646827697754,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,2,091f7f858b750a40,2,2,ablation_hard,0.994903184281135,0.003003003003003,0.0,0.997907402563432,0.9446186344891692,0.9559875980659648,0.950303116277567,0.972842535787321,0.5970060737438393,0.5970060737438393,0.9864466162640604,0.5970060737438393,0.5644561999943107,20.8391342163086,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.6,none,0,8dde8f9aa7025983,0,0,CoLD,0.9926562236220826,0.009009009009009009,8.409014463504877e-05,0.9945069317290086,0.8725215481014557,0.8709929662047614,0.8717572571531085,0.9762781186094069,0.3940162375508702,0.3940162375508702,0.9604161037557417,0.3940162375508702,0.2635555000160821,19.388025283813477,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.6,none,0,8dde8f9aa7025983,0,0,Graph-CoLD,0.9950938504187034,0.009009009009009,8.409014463504877e-05,0.9973842532042898,1.0,1.0,1.0,0.9946830265848672,0.3953101041765364,0.4000081801263829,1.0,0.4006472750222743,0.5027149000088684,22.08709716796875,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.6,none,0,8dde8f9aa7025983,0,0,ablation_hard,0.9941144695283568,0.003003003003003,0.00016818028927,0.9963379544860056,0.9426230923391888,0.9513495880376406,0.9469863401884148,0.9977096114519428,0.3980040491625595,0.3980040491625595,0.9867603350445824,0.3980040491625595,0.4775225999765098,22.175780296325684,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.6,none,1,6fde7f9c9f8d0227,1,1,CoLD,0.9922361455231525,0.012012012012012012,8.409014463504877e-05,0.9924143342924405,0.8705349996806655,0.870087180949009,0.8703110903148372,0.9845398773006135,0.3940162375508702,0.3940162375508702,0.9593055555555555,0.3940162375508702,0.2519046000088565,19.487549781799316,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.6,none,1,6fde7f9c9f8d0227,1,1,Graph-CoLD,0.9942435173019558,0.012012012012012,0.0002522704339051,0.9950300810881508,1.0,1.0,1.0,0.9845398773006137,0.3953188590546275,0.4000081801263829,1.0,0.4006540866577585,0.4493034000042826,19.93507575988769,ip|temporal,True,MALTLS-22
