dataset,noise_type,noise_rate,graph_beta,seed,graphcold_macro_f1,hard_macro_f1,macro_f1_delta,graphcold_fnr,hard_fnr,fnr_delta_graphcold_minus_hard,graphcold_high_noise_fnr,hard_high_noise_fnr,tail_recall_graphcold,tail_recall_hard,tail_recall_delta
cicids2017,asymmetric,0.6,none,0,0.9711541318780732,0.7406698094411438,0.2304843224369294,0.0042016429501279,0.0166808816267899,-0.012479238676662,0.0042016429501279,0.0166808816267899,0.9491771539206196,0.6096321393998064,0.3395450145208132
cicids2017,asymmetric,0.6,none,1,0.9723626037934192,0.7361224773924989,0.2362401264009203,0.0045697356017417,0.0159536741931139,-0.011383938591372201,0.0045697356017417,0.0159536741931139,0.9537754114230396,0.6057599225556631,0.34801548886737643
cicids2017,asymmetric,0.6,none,2,0.9694463855062272,0.7366246206563791,0.23282176484984807,0.0047313372536697,0.016456434888001,-0.011725097634331301,0.0047313372536697,0.016456434888001,0.9482090997095838,0.6030977734753146,0.3451113262342692
cicids2017,clean,0.0,none,0,0.990798504689009,0.9903465634508224,0.0004519412381865928,0.0007002738250213,0.0007182295641244,-1.7955739103099957e-05,,,0.9886253630203292,0.9878993223620522,0.0007260406582769718
cicids2017,clean,0.0,none,1,0.9911015674965205,0.9913710227854332,-0.0002694552889127566,0.0007720967814337,0.0007272074336759,4.4889347757799984e-05,,,0.9878993223620522,0.9891093901258472,-0.001210067763794953
cicids2017,clean,0.0,none,2,0.9909261101646472,0.9913859375052644,-0.00045982734061722486,0.0007182295641244,0.000745163172779,-2.6933608654599954e-05,,,0.9883833494675702,0.988867376573088,-0.0004840271055177592
cicids2017,graph_consistency,0.1,0.0,0,0.9894251930651332,0.9598987160260054,0.029526477039127808,0.0007990303900884,0.0052071643399021,-0.0044081339498137,,,0.9869312681510164,0.9012584704743466,0.0856727976766698
cicids2017,graph_consistency,0.1,0.0,1,0.9907183132144838,0.9694805475398952,0.02123776567458857,0.0008349418682946,0.0035372806033128,-0.0027023387350182003,,,0.9883833494675702,0.9131171345595354,0.07526621490803487
cicids2017,graph_consistency,0.1,0.0,2,0.9908313117596492,0.9663511774046128,0.024480134355036376,0.0008169861291915,0.0036180814292768,-0.0028010953000853,,,0.9874152952565344,0.9063407550822846,0.08107454017424975
cicids2017,graph_consistency,0.1,0.6,0,0.9898022916693402,0.9595925822801186,0.03020970938922163,0.0007990303900884,0.0051353413834896,-0.0043363109934012,,,0.9871732817037754,0.9005324298160697,0.08664085188770565
cicids2017,graph_consistency,0.1,0.6,1,0.9899289056908526,0.9689717241085868,0.020957181582265783,0.0007900525205368,0.0035013691251066,-0.0027113166045697997,,,0.9874152952565344,0.9128751210067764,0.074540174249758
cicids2017,graph_consistency,0.1,0.6,2,0.9908228988666774,0.9675539831545076,0.023268915712169824,0.0007541410423306,0.0036270592988283,-0.0028729182564977,,,0.9878993223620522,0.9077928363988385,0.08010648596321379
cicids2017,graph_consistency,0.2,0.0,0,0.9895571068092872,0.9590886944455778,0.03046841236370945,0.0007900525205368,0.0047762266014274,-0.0039861740808906,,,0.9878993223620522,0.9000484027105518,0.08785091965150049
cicids2017,graph_consistency,0.2,0.0,1,0.9906443873437148,0.9697939021096376,0.020850485234077287,0.0007990303900884,0.0032320330385599,-0.0024330026484715,,,0.9871732817037754,0.9162633107454018,0.07090997095837359
cicids2017,graph_consistency,0.2,0.0,2,0.9883858536125814,0.9648102451499608,0.023575608462620523,0.000987565650671,0.0039412847331328,-0.0029537190824618,,,0.983301064859632,0.9019845111326236,0.08131655372700841
cicids2017,graph_consistency,0.2,0.6,0,0.9893556008051329,0.9608627050830664,0.02849289572206648,0.0007900525205368,0.0046056470799479,-0.0038155945594110998,,,0.9869312681510164,0.9010164569215876,0.08591481122942879
cicids2017,graph_consistency,0.2,0.6,1,0.989824604541524,0.9675718867564512,0.022252717785072762,0.0008888090856039,0.0034385240382457,-0.0025497149526418003,,,0.9869312681510164,0.9099709583736688,0.07696030977734758
cicids2017,graph_consistency,0.2,0.6,2,0.9909047180874844,0.9673974861285184,0.02350723195896598,0.0008169861291915,0.0036809265161377,-0.0028639403869462,,,0.9862052274927396,0.9063407550822846,0.07986447241045502
cicids2017,graph_consistency,0.4,0.0,0,0.9880859395090852,0.9601108641926976,0.027975075316387543,0.000906764824707,0.0050365848184225,-0.0041298199937155,0.000906764824707,0.0050365848184225,0.9849951597289448,0.8983543078412392,0.08664085188770565
cicids2017,graph_consistency,0.4,0.0,1,0.9896801616536708,0.9675208904348246,0.0221592712188462,0.0009247205638102,0.0035552363424159,-0.0026305157786057002,0.0009247205638102,0.0035552363424159,0.9864472410454984,0.909244917715392,0.07720232333010646
cicids2017,graph_consistency,0.4,0.0,2,0.9880878435764582,0.9622117250155964,0.025876118560861805,0.0010504107375319,0.0042465322978857,-0.0031961215603538004,0.0010504107375319,0.0042465322978857,0.98378509196515,0.9005324298160697,0.08325266214908023
cicids2017,graph_consistency,0.4,0.6,0,0.9890789619986318,0.9592654854749304,0.029813476523701365,0.0008708533465008,0.0054405889482425,-0.0045697356017417,0.0008708533465008,0.0054405889482425,0.9862052274927396,0.898838334946757,0.08736689254598262
cicids2017,graph_consistency,0.4,0.6,1,0.9896170783501403,0.9649915444680968,0.024625533882043582,0.0009336984333617,0.0046684921668088,-0.0037347937334471,0.0009336984333617,0.0046684921668088,0.9864472410454984,0.9099709583736688,0.0764762826718296
cicids2017,graph_consistency,0.4,0.6,2,0.9894822129054472,0.9617221104900532,0.02776010241539406,0.0008798312160524,0.0048390716882883,-0.0039592404722359,0.0008798312160524,0.0048390716882883,0.984027105517909,0.9017424975798644,0.0822846079380446
cicids2017,graph_consistency,0.6,0.0,0,0.985504092781412,0.9590700022680946,0.026434090513317465,0.0011312115634959,0.0043722224716074,-0.0032410109081115,0.0011312115634959,0.0043722224716074,0.9813649564375604,0.8981122942884802,0.08325266214908023
cicids2017,graph_consistency,0.6,0.0,1,0.9871784783504238,0.9657577814778532,0.021420696872570644,0.001068366476635,0.0036899043856892,-0.0026215379090542,0.001068366476635,0.0036899043856892,0.9845111326234268,0.9090029041626332,0.07550822846079364
cicids2017,graph_consistency,0.6,0.0,2,0.9847660559886172,0.961460703441804,0.023305352546813207,0.0013466804327333,0.0041208421241639,-0.0027741616914306,0.0013466804327333,0.0041208421241639,0.9777347531461762,0.898596321393998,0.07913843175217816
cicids2017,graph_consistency,0.6,0.6,0,0.986472233948122,0.9583577065398328,0.028114527408289236,0.0011850787808053,0.0047941823405305,-0.0036091035597252,0.0011850787808053,0.0047941823405305,0.9808809293320426,0.8954501452081317,0.08543078412391092
cicids2017,graph_consistency,0.6,0.6,1,0.9871830412862022,0.9650281198461896,0.02215492144001252,0.0010773443461866,0.0035283027337612,-0.0024509583875745996,0.0010773443461866,0.0035283027337612,0.98378509196515,0.9080348499515972,0.07575024201355274
cicids2017,graph_consistency,0.6,0.6,2,0.9866648753393016,0.9631039613360418,0.02356091400325977,0.000987565650671,0.0039143511244781,-0.0029267854738070998,0.000987565650671,0.0039143511244781,0.9806389157792836,0.9002904162633107,0.0803484995159729
cicids2017,symmetric,0.1,none,0,0.9894251930651332,0.9598987160260054,0.029526477039127808,0.0007990303900884,0.0052071643399021,-0.0044081339498137,,,0.9869312681510164,0.9012584704743466,0.0856727976766698
cicids2017,symmetric,0.1,none,1,0.9907183132144838,0.9694805475398952,0.02123776567458857,0.0008349418682946,0.0035372806033128,-0.0027023387350182003,,,0.9883833494675702,0.9131171345595354,0.07526621490803487
cicids2017,symmetric,0.1,none,2,0.9908313117596492,0.9663511774046128,0.024480134355036376,0.0008169861291915,0.0036180814292768,-0.0028010953000853,,,0.9874152952565344,0.9063407550822846,0.08107454017424975
cicids2017,symmetric,0.2,none,0,0.9895571068092872,0.9590886944455778,0.03046841236370945,0.0007900525205368,0.0047762266014274,-0.0039861740808906,,,0.9878993223620522,0.9000484027105518,0.08785091965150049
cicids2017,symmetric,0.2,none,1,0.9906443873437148,0.9697939021096376,0.020850485234077287,0.0007990303900884,0.0032320330385599,-0.0024330026484715,,,0.9871732817037754,0.9162633107454018,0.07090997095837359
cicids2017,symmetric,0.2,none,2,0.9883858536125814,0.9648102451499608,0.023575608462620523,0.000987565650671,0.0039412847331328,-0.0029537190824618,,,0.983301064859632,0.9019845111326236,0.08131655372700841
cicids2017,symmetric,0.4,none,0,0.9880859395090852,0.9601108641926976,0.027975075316387543,0.000906764824707,0.0050365848184225,-0.0041298199937155,0.000906764824707,0.0050365848184225,0.9849951597289448,0.8983543078412392,0.08664085188770565
cicids2017,symmetric,0.4,none,1,0.9896801616536708,0.9675208904348246,0.0221592712188462,0.0009247205638102,0.0035552363424159,-0.0026305157786057002,0.0009247205638102,0.0035552363424159,0.9864472410454984,0.909244917715392,0.07720232333010646
cicids2017,symmetric,0.4,none,2,0.9880878435764582,0.9622117250155964,0.025876118560861805,0.0010504107375319,0.0042465322978857,-0.0031961215603538004,0.0010504107375319,0.0042465322978857,0.98378509196515,0.9005324298160697,0.08325266214908023
cicids2017,symmetric,0.6,none,0,0.985504092781412,0.9590700022680946,0.026434090513317465,0.0011312115634959,0.0043722224716074,-0.0032410109081115,0.0011312115634959,0.0043722224716074,0.9813649564375604,0.8981122942884802,0.08325266214908023
