dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_retained_rate,clean_suspicious_tail_recovery_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.8,0,ablation_hard,1,1,29,2,24,1,0.0,0.0,0.0,0.17099506926892416,0.08524937502517214,0.9655172413793104
cicids2017,CICIDS-2017,0.8,0,ablation_hard,5,5,78,6,60,4,0.0,0.0,0.16666666666666666,0.144668946666769,0.0944407009633504,0.9487179487179487
cicids2017,CICIDS-2017,0.8,0,ablation_hard,6,6,81,7,64,6,0.0,0.0,0.14285714285714285,0.13412109497124167,0.12021136365770904,0.9135802469135802
cicids2017,CICIDS-2017,0.8,0,ablation_hard,9,9,49,7,43,3,0.0,0.0,0.0,0.11113693202769416,0.08477125072000852,0.9387755102040817
cicids2017,CICIDS-2017,0.8,0,ablation_hard,10,10,22,1,16,2,0.0,0.0,0.0,0.24841545860965145,0.1461912434274811,0.9090909090909091
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,1,1,29,2,24,1,1.0,1.0,0.0,0.17099506926892416,0.08524937502517214,0.8817602395438112
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,5,5,78,6,60,4,1.0,1.0,0.16666666666666666,0.144668946666769,0.0944407009633504,0.8568461073773432
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,6,6,81,7,64,6,1.0,1.0,0.14285714285714285,0.13412109497124167,0.12021136365770904,0.8411021023443875
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,9,9,49,7,43,3,1.0,1.0,0.2857142857142857,0.11113693202769416,0.08477125072000852,0.8712346979916609
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,10,10,22,1,16,2,1.0,1.0,0.0,0.24841545860965145,0.1461912434274811,0.8728373616070134
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,1,1,29,2,24,1,1.0,0.0,0.0,0.17099506926892416,0.08524937502517214,0.8817602395438112
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,5,5,78,6,60,4,1.0,0.0,0.16666666666666666,0.144668946666769,0.0944407009633504,0.8568461073773432
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,6,6,81,7,64,6,1.0,0.0,0.0,0.13412109497124167,0.12021136365770904,0.8411021023443875
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,9,9,49,7,43,3,1.0,0.0,0.0,0.11113693202769416,0.08477125072000852,0.8712346979916609
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,10,10,22,1,16,2,1.0,0.0,0.0,0.24841545860965145,0.1461912434274811,0.8728373616070134
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD,1,1,29,2,24,1,1.0,1.0,0.0,0.17099506926892416,0.08524937502517214,0.8817602395438112
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD,5,5,78,6,60,4,1.0,1.0,0.16666666666666666,0.144668946666769,0.0944407009633504,0.8568461073773432
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD,6,6,81,7,64,6,1.0,1.0,0.14285714285714285,0.13412109497124167,0.12021136365770904,0.8411021023443875
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD,9,9,49,7,43,3,1.0,1.0,0.2857142857142857,0.11113693202769416,0.08477125072000852,0.8712346979916609
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD,10,10,22,1,16,2,1.0,1.0,0.0,0.24841545860965145,0.1461912434274811,0.8728373616070134
cicids2017,CICIDS-2017,0.4,1,CoLD,1,1,29,2,10,4,0.0,0.0,0.0,0.46388540035917153,0.24191233327078224,0.3448275862068966
cicids2017,CICIDS-2017,0.4,1,CoLD,5,5,78,6,32,3,0.0,0.0,0.0,0.33130835354282984,0.17337983141164565,0.44871794871794873
cicids2017,CICIDS-2017,0.4,1,CoLD,6,6,81,7,28,4,0.0,0.0,0.2857142857142857,0.33245741790416006,0.16764763325912024,0.7777777777777778
cicids2017,CICIDS-2017,0.4,1,CoLD,9,9,49,7,23,1,0.0,0.0,0.0,0.32355505782260363,0.12736240978725638,0.46938775510204084
cicids2017,CICIDS-2017,0.4,1,CoLD,10,10,22,1,10,1,0.0,0.0,0.0,0.5054593281427787,0.19518054174010918,0.45454545454545453
cicids2017,CICIDS-2017,0.4,1,ablation_hard,1,1,29,2,10,4,0.0,0.0,0.0,0.46388540035917153,0.24191233327078224,0.8620689655172413
cicids2017,CICIDS-2017,0.4,1,ablation_hard,5,5,78,6,32,3,0.0,0.0,0.16666666666666666,0.33130835354282984,0.17337983141164565,0.9230769230769231
cicids2017,CICIDS-2017,0.4,1,ablation_hard,6,6,81,7,28,4,0.0,0.0,0.5714285714285714,0.33245741790416006,0.16764763325912024,0.9259259259259259
cicids2017,CICIDS-2017,0.4,1,ablation_hard,9,9,49,7,23,1,0.0,0.0,0.14285714285714285,0.32355505782260363,0.12736240978725638,0.9795918367346939
cicids2017,CICIDS-2017,0.4,1,ablation_hard,10,10,22,1,10,1,0.0,0.0,1.0,0.5054593281427787,0.19518054174010918,0.9545454545454546
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,1,1,29,2,10,4,1.0,1.0,0.5,0.46388540035917153,0.24191233327078224,0.8525185088536724
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,5,5,78,6,32,3,1.0,1.0,0.3333333333333333,0.33130835354282984,0.17337983141164565,0.8361782763136295
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,6,6,81,7,28,4,1.0,1.0,0.7142857142857143,0.33245741790416006,0.16764763325912024,0.8393673062791734
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,9,9,49,7,23,1,1.0,1.0,0.2857142857142857,0.32355505782260363,0.12736240978725638,0.8697180915709254
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,10,10,22,1,10,1,1.0,1.0,1.0,0.5054593281427787,0.19518054174010918,0.8927538966968697
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,1,1,29,2,10,4,1.0,0.0,0.0,0.46388540035917153,0.24191233327078224,0.8525185088536724
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,5,5,78,6,32,3,1.0,0.0,0.16666666666666666,0.33130835354282984,0.17337983141164565,0.8361782763136295
