Dataset,Noise type,Noise rate,Graph beta,Method,Macro-F1 mean +/- std,FPR mean +/- std,FNR mean +/- std,ERR mean +/- std,Compression ratio mean +/- std,Runtime mean +/- std (s)
CICIDS-2017,graph_consistency,0.4,0.6,Decoupling,0.5107 +/- 0.0524,0.3848 +/- 0.0264,0.0006 +/- 0.0005,0.2298 +/- 0.0082,0.9478 +/- 0.0561,14.47 +/- 0.18
CICIDS-2017,graph_consistency,0.4,0.6,Graph-CoLD,0.9894 +/- 0.0003,0.0022 +/- 0.0003,0.0009 +/- 0.0000,1.0000 +/- 0.0000,0.9970 +/- 0.0024,5.59 +/- 0.24
CICIDS-2017,graph_consistency,0.4,0.6,Noisy-Supervised,0.5118 +/- 0.0038,0.2405 +/- 0.0044,0.0944 +/- 0.0012,1.0000 +/- 0.0000,1.0000 +/- 0.0000,5.23 +/- 0.21
CICIDS-2017,graph_consistency,0.4,0.6,ablation_hard,0.9643 +/- 0.0015,0.0022 +/- 0.0002,0.0038 +/- 0.0002,0.8397 +/- 0.0010,0.9992 +/- 0.0003,0.00 +/- 0.00
CICIDS-2017,graph_consistency,0.6,0.0,Co-Teaching-lite,0.5091 +/- 0.0238,0.2699 +/- 0.0187,0.0066 +/- 0.0011,0.5607 +/- 0.0225,0.9918 +/- 0.0058,17.98 +/- 1.32
CICIDS-2017,graph_consistency,0.6,0.0,CoLD,0.9621 +/- 0.0045,0.0024 +/- 0.0004,0.0043 +/- 0.0009,0.8421 +/- 0.0041,0.9985 +/- 0.0012,3.76 +/- 0.22
CICIDS-2017,graph_consistency,0.6,0.0,Confident-Learning,0.4369 +/- 0.0405,0.2261 +/- 0.0375,0.0084 +/- 0.0035,0.5944 +/- 0.0360,0.9999 +/- 0.0001,25.99 +/- 1.24
CICIDS-2017,graph_consistency,0.6,0.0,Decoupling,0.5258 +/- 0.0412,0.1985 +/- 0.0303,0.0160 +/- 0.0072,0.2503 +/- 0.0229,0.9836 +/- 0.0257,14.11 +/- 0.12
CICIDS-2017,graph_consistency,0.6,0.0,Graph-CoLD,0.9858 +/- 0.0012,0.0025 +/- 0.0003,0.0012 +/- 0.0001,1.0000 +/- 0.0000,0.9964 +/- 0.0011,4.67 +/- 0.52
CICIDS-2017,graph_consistency,0.6,0.0,Noisy-Supervised,0.3116 +/- 0.0012,0.4464 +/- 0.0017,0.0461 +/- 0.0008,1.0000 +/- 0.0000,1.0000 +/- 0.0000,5.25 +/- 0.33
CICIDS-2017,graph_consistency,0.6,0.0,ablation_hard,0.9621 +/- 0.0045,0.0024 +/- 0.0004,0.0043 +/- 0.0009,0.8421 +/- 0.0041,0.9985 +/- 0.0012,0.00 +/- 0.00
CICIDS-2017,graph_consistency,0.6,0.6,Co-Teaching-lite,0.5288 +/- 0.0107,0.4719 +/- 0.0415,0.0348 +/- 0.0563,0.6750 +/- 0.0564,0.9983 +/- 0.0009,16.71 +/- 0.71
CICIDS-2017,graph_consistency,0.6,0.6,CoLD,0.9619 +/- 0.0042,0.0024 +/- 0.0004,0.0045 +/- 0.0009,0.8401 +/- 0.0021,0.9982 +/- 0.0015,3.57 +/- 0.23
CICIDS-2017,graph_consistency,0.6,0.6,Confident-Learning,0.4169 +/- 0.0352,0.4337 +/- 0.0510,0.0362 +/- 0.0195,0.5840 +/- 0.0870,0.9999 +/- 0.0001,24.79 +/- 5.26
CICIDS-2017,graph_consistency,0.6,0.6,Decoupling,0.4450 +/- 0.0486,0.6740 +/- 0.1396,0.0001 +/- 0.0000,0.3903 +/- 0.0054,0.9980 +/- 0.0026,15.76 +/- 0.20
CICIDS-2017,graph_consistency,0.6,0.6,Graph-CoLD,0.9868 +/- 0.0004,0.0025 +/- 0.0004,0.0011 +/- 0.0001,1.0000 +/- 0.0000,0.9980 +/- 0.0017,4.05 +/- 0.13
CICIDS-2017,graph_consistency,0.6,0.6,Noisy-Supervised,0.3337 +/- 0.0036,0.4651 +/- 0.0042,0.1910 +/- 0.0018,1.0000 +/- 0.0000,1.0000 +/- 0.0000,5.27 +/- 0.26
CICIDS-2017,graph_consistency,0.6,0.6,ablation_hard,0.9619 +/- 0.0042,0.0024 +/- 0.0004,0.0045 +/- 0.0009,0.8401 +/- 0.0021,0.9982 +/- 0.0015,0.00 +/- 0.00
CICIDS-2017,symmetric,0.1,none,Co-Teaching-lite,0.6274 +/- 0.0125,0.3059 +/- 0.0347,0.0015 +/- 0.0003,0.9124 +/- 0.0444,0.9813 +/- 0.0160,22.08 +/- 2.49
CICIDS-2017,symmetric,0.1,none,CoLD,0.9646 +/- 0.0034,0.0020 +/- 0.0002,0.0039 +/- 0.0009,0.8414 +/- 0.0019,0.9990 +/- 0.0007,10.22 +/- 0.55
CICIDS-2017,symmetric,0.1,none,Confident-Learning,0.6261 +/- 0.0194,0.1133 +/- 0.0139,0.0067 +/- 0.0029,0.8231 +/- 0.0106,0.9995 +/- 0.0007,26.34 +/- 4.14
CICIDS-2017,symmetric,0.1,none,Decoupling,0.5423 +/- 0.0411,0.4797 +/- 0.2322,0.0037 +/- 0.0033,0.1745 +/- 0.0944,0.9902 +/- 0.0096,14.33 +/- 0.47
CICIDS-2017,symmetric,0.1,none,Graph-CoLD,0.9903 +/- 0.0008,0.0020 +/- 0.0003,0.0008 +/- 0.0000,1.0000 +/- 0.0000,0.9981 +/- 0.0016,10.89 +/- 1.03
CICIDS-2017,symmetric,0.1,none,Noisy-Supervised,0.7304 +/- 0.0018,0.0443 +/- 0.0013,0.0046 +/- 0.0001,1.0000 +/- 0.0000,0.9978 +/- 0.0021,4.74 +/- 0.35
CICIDS-2017,symmetric,0.1,none,ablation_hard,0.9646 +/- 0.0034,0.0020 +/- 0.0002,0.0039 +/- 0.0009,0.8414 +/- 0.0019,0.9990 +/- 0.0007,0.00 +/- 0.00
CICIDS-2017,symmetric,0.2,none,Co-Teaching-lite,0.6173 +/- 0.0057,0.2845 +/- 0.0103,0.0016 +/- 0.0003,0.8102 +/- 0.0493,0.9849 +/- 0.0122,20.29 +/- 2.81
CICIDS-2017,symmetric,0.2,none,CoLD,0.9665 +/- 0.0044,0.0020 +/- 0.0003,0.0037 +/- 0.0004,0.8421 +/- 0.0026,0.9990 +/- 0.0003,9.27 +/- 0.86
CICIDS-2017,symmetric,0.2,none,Confident-Learning,0.6175 +/- 0.0225,0.1593 +/- 0.0132,0.0031 +/- 0.0012,0.7550 +/- 0.0429,0.9992 +/- 0.0011,26.25 +/- 3.80
CICIDS-2017,symmetric,0.2,none,Decoupling,0.6011 +/- 0.0459,0.2491 +/- 0.0708,0.0257 +/- 0.0362,0.1481 +/- 0.0138,0.9948 +/- 0.0073,14.18 +/- 0.20
CICIDS-2017,symmetric,0.2,none,Graph-CoLD,0.9895 +/- 0.0011,0.0021 +/- 0.0004,0.0009 +/- 0.0001,1.0000 +/- 0.0000,0.9963 +/- 0.0019,9.24 +/- 0.50
CICIDS-2017,symmetric,0.2,none,Noisy-Supervised,0.6151 +/- 0.0026,0.0945 +/- 0.0018,0.0090 +/- 0.0002,1.0000 +/- 0.0000,0.9998 +/- 0.0000,5.19 +/- 0.37
CICIDS-2017,symmetric,0.2,none,ablation_hard,0.9665 +/- 0.0044,0.0020 +/- 0.0003,0.0037 +/- 0.0004,0.8421 +/- 0.0026,0.9990 +/- 0.0003,0.00 +/- 0.00
CICIDS-2017,symmetric,0.4,none,Co-Teaching-lite,0.6345 +/- 0.0107,0.2839 +/- 0.0079,0.0022 +/- 0.0005,0.7165 +/- 0.0765,0.9827 +/- 0.0115,18.83 +/- 1.72
CICIDS-2017,symmetric,0.4,none,CoLD,0.9646 +/- 0.0036,0.0022 +/- 0.0003,0.0041 +/- 0.0007,0.8425 +/- 0.0046,0.9988 +/- 0.0002,6.19 +/- 0.67
CICIDS-2017,symmetric,0.4,none,Confident-Learning,0.5485 +/- 0.0415,0.2429 +/- 0.0661,0.0025 +/- 0.0003,0.6901 +/- 0.0779,0.9988 +/- 0.0011,26.33 +/- 1.64
CICIDS-2017,symmetric,0.4,none,Decoupling,0.5468 +/- 0.0111,0.1958 +/- 0.0074,0.0116 +/- 0.0049,0.1653 +/- 0.0244,0.9968 +/- 0.0008,14.09 +/- 0.34
CICIDS-2017,symmetric,0.4,none,Graph-CoLD,0.9886 +/- 0.0009,0.0022 +/- 0.0004,0.0010 +/- 0.0001,1.0000 +/- 0.0000,0.9953 +/- 0.0019,6.84 +/- 0.69
CICIDS-2017,symmetric,0.4,none,Noisy-Supervised,0.4575 +/- 0.0009,0.2340 +/- 0.0044,0.0227 +/- 0.0003,1.0000 +/- 0.0000,0.9999 +/- 0.0000,5.21 +/- 0.39
CICIDS-2017,symmetric,0.4,none,ablation_hard,0.9646 +/- 0.0036,0.0022 +/- 0.0003,0.0041 +/- 0.0007,0.8425 +/- 0.0046,0.9988 +/- 0.0002,0.00 +/- 0.00
CICIDS-2017,symmetric,0.6,none,Co-Teaching-lite,0.5091 +/- 0.0238,0.2699 +/- 0.0187,0.0066 +/- 0.0011,0.5607 +/- 0.0225,0.9918 +/- 0.0058,17.08 +/- 1.56
CICIDS-2017,symmetric,0.6,none,CoLD,0.9621 +/- 0.0045,0.0024 +/- 0.0004,0.0043 +/- 0.0009,0.8421 +/- 0.0041,0.9985 +/- 0.0012,3.79 +/- 0.31
CICIDS-2017,symmetric,0.6,none,Confident-Learning,0.4369 +/- 0.0405,0.2261 +/- 0.0375,0.0084 +/- 0.0035,0.5944 +/- 0.0360,0.9999 +/- 0.0001,25.72 +/- 2.70
CICIDS-2017,symmetric,0.6,none,Decoupling,0.5258 +/- 0.0412,0.1985 +/- 0.0303,0.0160 +/- 0.0072,0.2503 +/- 0.0229,0.9836 +/- 0.0257,14.11 +/- 0.16
CICIDS-2017,symmetric,0.6,none,Graph-CoLD,0.9858 +/- 0.0012,0.0025 +/- 0.0003,0.0012 +/- 0.0001,1.0000 +/- 0.0000,0.9964 +/- 0.0011,4.49 +/- 0.38
CICIDS-2017,symmetric,0.6,none,Noisy-Supervised,0.3116 +/- 0.0012,0.4464 +/- 0.0017,0.0461 +/- 0.0008,1.0000 +/- 0.0000,1.0000 +/- 0.0000,5.54 +/- 0.68
CICIDS-2017,symmetric,0.6,none,ablation_hard,0.9621 +/- 0.0045,0.0024 +/- 0.0004,0.0043 +/- 0.0009,0.8421 +/- 0.0041,0.9985 +/- 0.0012,0.00 +/- 0.00
