dataset,reported_as,audit_scope,leakage_removed,exact_duplicate_train_rows_removed,near_duplicate_graph_edges_removed,noise_type,noise_rate,graph_beta,seed,method,macro_f1,fpr,fnr,err,err_tail,err_final,mean_weight,retained_fraction,retained_fraction_clean_informative,runtime_sec
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.2,none,0,CoLD,0.5240102895068787,0.004682843763303533,0.2615466289152362,0.7106060628603696,0.3607832866268692,0.5356946747436194,0.9614022662889519,0.9614022662889519,0.9327433628318584,0.06750810000812635
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.2,none,0,ablation_hard,0.6906228363758461,0.008088548318433376,0.24650504335515838,0.9353071252798325,0.8673446208691097,0.9013258730744711,0.9713172804532578,0.9713172804532578,0.9823008849557522,0.06945190002443269
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.4,none,0,Graph-CoLD,0.42707304430164467,0.0038314176245210726,0.6867811006901433,0.890194001274228,0.7783062471104369,0.8342501241923325,0.9740687568990999,0.9837110481586402,0.9433962264150944,0.08371630002511665
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.4,none,0,CoLD,0.286384198022509,0.0017028522775649213,0.6811183861263493,0.6391954182641763,0.10151514428883093,0.3703552812765036,0.9737960339943342,0.9737960339943342,0.8773584905660378,0.07580360001884401
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.4,none,0,ablation_hard,0.43292525906836055,0.0034057045551298426,0.6846575827287206,0.890194001274228,0.7783062471104369,0.8342501241923325,0.9837110481586402,0.9837110481586402,0.9433962264150944,0.0671487000072375
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.6,none,0,Graph-CoLD,0.14596511816350877,0.0004257130693912303,0.9449654928331269,0.6180360538886432,0.5915185193637921,0.6047772866262177,0.9572297588912985,0.96671388101983,0.6678445229681979,0.06453700002748519
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.6,none,0,CoLD,0.06680839053791758,0.0,0.9523978056981065,0.39159462191145666,0.0,0.19579731095572833,0.9567988668555241,0.9567988668555241,0.568904593639576,0.06375810003373772
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.6,none,0,ablation_hard,0.14011420272172823,0.0004257130693912303,0.946558131304194,0.6180360538886432,0.5915185193637921,0.6047772866262177,0.96671388101983,0.96671388101983,0.6678445229681979,0.0649278000346385
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.1,0.0,0,Graph-CoLD,0.8715778541189738,0.011494252873563218,0.013271987258892231,0.9356304165538318,0.8785199817652535,0.9070751991595427,0.887496382729475,0.8955382436260623,0.9779874213836478,0.06358899996848777
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.1,0.0,0,CoLD,0.7855051424450814,0.008939974457215836,0.02194301893470182,0.8162924699117906,0.6489772371872514,0.7326348535495211,0.8863314447592068,0.8863314447592068,0.9481132075471698,0.06428689998574555
