dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,cold_err_final,hard_err_final,delta_err_final_vs_cold,graphcold_fnr,cold_fnr,hard_fnr,delta_fnr_vs_cold,paired_scenarios_dataset,p_macro_f1_graphcold_vs_cold,p_macro_f1_graphcold_vs_hard,p_err_graphcold_vs_cold,p_fnr_graphcold_vs_cold,p2c_validity_note
CESNET-TLS-Year22,graph_consistency,0.6,0.0,0.9936722985924314,0.9915583704479684,0.9938693992568804,0.0021139281444630953,-0.00019710066444900143,1.0,0.8748690113150497,0.9456642462452954,0.12513098868495032,5.606009642336585e-05,8.409014463501626e-05,0.00011212019284671626,-2.8030048211650412e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,graph_consistency,0.6,0.6,0.9939135440233334,0.9908911665334191,0.9938754720193961,0.0030223774899142963,3.807200393735055e-05,1.0,0.8711313956304775,0.944716413226287,0.12886860436952252,5.606009642333333e-05,8.409014463503334e-05,8.409014463503334e-05,-2.8030048211700007e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,symmetric,0.1,none,0.995615679799021,0.9920931277068953,0.9953279134090014,0.003522552092125708,0.0002877663900195948,1.0,0.8727423995861451,0.9448728678476552,0.12725760041385492,2.8030048211682924e-05,0.0,5.606009642333333e-05,2.8030048211682924e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,symmetric,0.2,none,0.9957641495937034,0.9925854865599245,0.994941085154066,0.0031786630337788946,0.000823064439637422,1.0,0.8712293268515935,0.9451982987152278,0.1287706731484065,5.606009642336585e-05,0.0,8.409014463501626e-05,5.606009642336585e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,symmetric,0.4,none,0.9949820976958357,0.9916109137418565,0.9942390617323712,0.0033711839539791733,0.0007430359634644779,1.0,0.8738652897310147,0.9455718151593523,0.12613471026898526,2.8030048211682924e-05,5.606009642336585e-05,5.606009642336585e-05,-2.8030048211682924e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CESNET-TLS-Year22,symmetric,0.6,none,0.9936722985924314,0.9915583704479684,0.9938693992568804,0.0021139281444630953,-0.00019710066444900143,1.0,0.8748690113150497,0.9456642462452954,0.12513098868495032,5.606009642336585e-05,8.409014463501626e-05,0.00011212019284671626,-2.8030048211650412e-05,17,6.381431108514806e-10,0.0007550723022233085,2.9302796786342386e-11,0.8813822580194411,formal row retained
CICIDS-2017,asymmetric,0.1,none,0.990647324202543,0.6938679987635993,0.9633370790006431,0.2967793254389437,0.02731024520189984,1.0,0.6384329211179333,0.838808314008464,0.36156707888206674,0.0008289566219269001,0.013041851835226133,0.004734329876853533,-0.012212895213299234,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,asymmetric,0.2,none,0.989427369842164,0.6927316248187658,0.9626821763254183,0.2966957450233981,0.026745193516745647,1.0,0.6260115825899338,0.8395500746459262,0.37398841741006617,0.0010264697520611002,0.015058879861142266,0.005147311876225066,-0.014032410109081166,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,asymmetric,0.4,none,0.9858957692273348,0.6827695192672616,0.95385890131148,0.3031262499600732,0.032036867915854805,1.0,0.5916686177269707,0.8222904652669364,0.40833138227302934,0.0017207583307147333,0.025682692163816134,0.0065269111639807325,-0.0239619338331014,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,asymmetric,0.6,none,0.97098770705924,0.5043714703706202,0.7378056358300072,0.46661623668861973,0.23318207122923273,1.0,0.4074727263883567,0.7108269366011236,0.5925272736116434,0.0045009052685131,0.0497613383010878,0.016363663569301603,-0.0452604330325747,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
