dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,hard_err_final,delta_err_final_vs_hard,graphcold_tail_recall,hard_tail_recall,delta_tail_recall_vs_hard,graphcold_fnr,hard_fnr,delta_fnr_vs_hard,p_macro_f1_graphcold_vs_cold_dataset,bootstrap_ci95_delta_vs_cold_low,bootstrap_ci95_delta_vs_cold_high,holm_p_macro_f1_vs_cold
UNSW-NB15,asymmetric,0.4,none,0.23764896743497269,0.23269523128778605,0.2368869528830849,0.004953736147186638,0.0007620145518877908,0.40668128224949046,0.40668128224949046,0.0,0.18987927321260648,0.18087784754451416,0.009001425668092311,0.7072090862094021,0.7146823418820843,-0.0074732556726822,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,asymmetric,0.6,none,0.09026130203024174,0.08092644390499193,0.09489725120232813,0.009334858125249812,-0.004635949172086387,0.29927005101862547,0.29927005101862547,0.0,0.034826493159826465,0.040453332119998735,-0.00562683896017227,0.9594619150063419,0.9499595329500014,0.009502382056340575,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,clean,0.0,none,0.5019091930976627,0.4942821449421386,0.5007053480664666,0.007627048155524063,0.0012038450311960824,1.0,1.0,0.0,0.4786187702854369,0.4774926441593108,0.0011261261261261146,0.0010131238571789668,0.0007590132827324333,0.0002541105744465335,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.1,0.0,0.48406638077263614,0.48462868299613193,0.4921347944189207,-0.000562302223495792,-0.008068413646284578,0.5334864309068016,0.5334864309068016,0.0,0.4380933964267297,0.4459611126277793,-0.007867716201049646,0.0015201910520125667,0.0020271619011887334,-0.0005069708491761667,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.1,0.6,0.4738436522709249,0.47729089730888447,0.47622318933384045,-0.0034472450379595676,-0.002379537062915549,0.584971110231323,0.584971110231323,0.0,0.43367230867230866,0.4606765856765856,-0.027004277004276933,0.0029135904876261,0.0024071010010986668,0.0005064894865274331,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.2,0.0,0.48716089512941,0.47973132160237403,0.48203914065096076,0.007429573527035993,0.005121754478449259,0.574015778383298,0.574015778383298,0.0,0.4887614887614888,0.4718885552218885,0.016872933539600288,0.005697889490695433,0.0070918659033388,-0.0013939764126433664,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.2,0.6,0.46207942745675923,0.4586042156795889,0.4746615722564274,0.003475211777170306,-0.012582144799668182,0.6620986498869277,0.6620986498869277,0.0,0.39099705766372433,0.3909591409591409,3.791670458341834e-05,0.004939501723459667,0.005698419391811066,-0.000758917668351399,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.4,0.0,0.4429666616478207,0.44311997005304465,0.44403690652166655,-0.00015330840522392863,-0.001070244873845827,0.530307310993508,0.530307310993508,0.0,0.43928777262110597,0.43032805532805535,0.008959717293050617,0.0092445691212096,0.010129989003349766,-0.0008854198821401649,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.4,0.6,0.42540718900199037,0.4218812401728034,0.4130016021040068,0.003525948829186998,0.012405586897983545,0.7541478789191268,0.7541478789191268,0.0,0.23704765371432035,0.2483089149755816,-0.011261261261261257,0.01405886637215,0.013931017878625033,0.00012784849352496727,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.6,0.0,0.36949845730285485,0.37381581545164017,0.3753243089575149,-0.004317358148785311,-0.005825851654660041,0.6113887103878791,0.6113887103878791,0.0,0.3123047289713956,0.3033070949737616,0.00899763399763398,0.043816608059484397,0.041657847862534035,0.0021587601969503614,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,graph_consistency,0.6,0.6,0.3448411570403052,0.3351385970589993,0.3425582031638767,0.009702559981305925,0.0022829538764285173,0.80331112665188,0.80331112665188,0.0,0.13601101101101096,0.12925804592471254,0.0067529650862984125,0.0372227656565205,0.04380838257183731,-0.006585616915316804,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,symmetric,0.1,none,0.48406638077263614,0.48462868299613193,0.4921347944189207,-0.000562302223495792,-0.008068413646284578,0.5334864309068016,0.5334864309068016,0.0,0.4380933964267297,0.4459611126277793,-0.007867716201049646,0.0015201910520125667,0.0020271619011887334,-0.0005069708491761667,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,symmetric,0.2,none,0.48716089512941,0.47973132160237403,0.48203914065096076,0.007429573527035993,0.005121754478449259,0.574015778383298,0.574015778383298,0.0,0.4887614887614888,0.4718885552218885,0.016872933539600288,0.005697889490695433,0.0070918659033388,-0.0013939764126433664,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,symmetric,0.4,none,0.4429666616478207,0.44311997005304465,0.44403690652166655,-0.00015330840522392863,-0.001070244873845827,0.530307310993508,0.530307310993508,0.0,0.43928777262110597,0.43032805532805535,0.008959717293050617,0.0092445691212096,0.010129989003349766,-0.0008854198821401649,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,symmetric,0.6,none,0.36949845730285485,0.37381581545164017,0.3753243089575149,-0.004317358148785311,-0.005825851654660041,0.6113887103878791,0.6113887103878791,0.0,0.3123047289713956,0.3033070949737616,0.00899763399763398,0.043816608059484397,0.041657847862534035,0.0021587601969503614,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
pooled,all,-1.0,all,0.5944796314135767,0.5728041409766084,0.5950424228783149,0.0216754904369684,-0.0005627914647378712,0.7894055471520491,0.7894055471520491,0.0,0.5190171851005302,0.5163505791623194,0.0026666059382107646,0.1480082785916753,0.14847481043468852,-0.000466531843013222,0.00025365691858751725,0.011306156229763048,0.032856962309035516,0.00025365691858751725
