dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_recovery_rate,clean_suspicious_tail_retained_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,5,5,78,34,60,4,1.0,1.0,0.08823529411764706,0.144668946666769,0.0944407009633504,0.8568461073773432
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,6,6,81,36,64,6,1.0,1.0,0.1388888888888889,0.13412109497124167,0.12021136365770904,0.8411021023443875
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,9,9,49,37,43,3,1.0,1.0,0.21621621621621623,0.11113693202769416,0.08477125072000852,0.8712346979916609
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,10,10,22,9,16,2,1.0,1.0,0.3333333333333333,0.24841545860965145,0.1461912434274811,0.8728373616070134
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,1,1,29,12,24,1,0.0,1.0,0.0,0.17099506926892416,0.08524937502517214,0.8817602395438112
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,5,5,78,34,60,4,0.0,1.0,0.058823529411764705,0.144668946666769,0.0944407009633504,0.8568461073773432
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,6,6,81,36,64,6,0.0,1.0,0.027777777777777776,0.13412109497124167,0.12021136365770904,0.8411021023443875
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,9,9,49,37,43,3,0.0,1.0,0.0,0.11113693202769416,0.08477125072000852,0.8712346979916609
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-semisup,10,10,22,9,16,2,0.0,1.0,0.2222222222222222,0.24841545860965145,0.1461912434274811,0.8728373616070134
cicids2017,CICIDS-2017,0.4,1,CoLD,1,1,29,12,10,4,0.0,0.0,0.0,0.46388540035917153,0.24191233327078224,0.3448275862068966
cicids2017,CICIDS-2017,0.4,1,CoLD,5,5,78,34,32,3,0.0,0.0,0.058823529411764705,0.33130835354282984,0.17337983141164565,0.44871794871794873
cicids2017,CICIDS-2017,0.4,1,CoLD,6,6,81,36,28,4,0.0,0.0,0.5833333333333334,0.33245741790416006,0.16764763325912024,0.7777777777777778
cicids2017,CICIDS-2017,0.4,1,CoLD,9,9,49,37,23,1,0.0,0.0,0.0,0.32355505782260363,0.12736240978725638,0.46938775510204084
cicids2017,CICIDS-2017,0.4,1,CoLD,10,10,22,9,10,1,0.0,0.0,0.0,0.5054593281427787,0.19518054174010918,0.45454545454545453
cicids2017,CICIDS-2017,0.4,1,ablation_hard,1,1,29,12,10,4,0.0,0.0,0.16666666666666666,0.46388540035917153,0.24191233327078224,0.8620689655172413
cicids2017,CICIDS-2017,0.4,1,ablation_hard,5,5,78,34,32,3,0.0,0.0,0.4411764705882353,0.33130835354282984,0.17337983141164565,0.9230769230769231
cicids2017,CICIDS-2017,0.4,1,ablation_hard,6,6,81,36,28,4,0.0,0.0,0.75,0.33245741790416006,0.16764763325912024,0.9259259259259259
cicids2017,CICIDS-2017,0.4,1,ablation_hard,9,9,49,37,23,1,0.0,0.0,0.40540540540540543,0.32355505782260363,0.12736240978725638,0.9795918367346939
cicids2017,CICIDS-2017,0.4,1,ablation_hard,10,10,22,9,10,1,0.0,0.0,0.2222222222222222,0.5054593281427787,0.19518054174010918,0.9545454545454546
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,1,1,29,12,10,4,1.0,1.0,0.25,0.46388540035917153,0.24191233327078224,0.8525185088536724
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,5,5,78,34,32,3,1.0,1.0,0.5,0.33130835354282984,0.17337983141164565,0.8361782763136295
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,6,6,81,36,28,4,1.0,1.0,0.8611111111111112,0.33245741790416006,0.16764763325912024,0.8393673062791734
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,9,9,49,37,23,1,1.0,1.0,0.4594594594594595,0.32355505782260363,0.12736240978725638,0.8697180915709254
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-soft,10,10,22,9,10,1,1.0,1.0,0.2222222222222222,0.5054593281427787,0.19518054174010918,0.8927538966968697
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,1,1,29,12,10,4,0.0,1.0,0.16666666666666666,0.46388540035917153,0.24191233327078224,0.8525185088536724
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,5,5,78,34,32,3,0.0,1.0,0.47058823529411764,0.33130835354282984,0.17337983141164565,0.8361782763136295
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,6,6,81,36,28,4,0.0,1.0,0.75,0.33245741790416006,0.16764763325912024,0.8393673062791734
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,9,9,49,37,23,1,0.0,1.0,0.43243243243243246,0.32355505782260363,0.12736240978725638,0.8697180915709254
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,10,10,22,9,10,1,0.0,1.0,0.3333333333333333,0.5054593281427787,0.19518054174010918,0.8927538966968697
cicids2017,CICIDS-2017,0.6,1,CoLD,1,1,29,12,18,3,0.0,0.0,0.0,0.29479028653552297,0.18332456832181196,0.6206896551724138
cicids2017,CICIDS-2017,0.6,1,CoLD,5,5,78,34,42,5,0.0,0.0,0.0,0.24451542004762275,0.14114994544621468,0.5384615384615384
cicids2017,CICIDS-2017,0.6,1,CoLD,6,6,81,36,51,2,0.0,0.0,0.0,0.21378520850818644,0.10420650555156868,0.6296296296296297
cicids2017,CICIDS-2017,0.6,1,CoLD,9,9,49,37,29,0,0.0,0.0,0.0,0.23352384071572224,0.09505531938164462,0.5918367346938775
cicids2017,CICIDS-2017,0.6,1,CoLD,10,10,22,9,15,2,0.0,0.0,0.0,0.32505446251482617,0.16756279357539583,0.6818181818181818
cicids2017,CICIDS-2017,0.6,1,ablation_hard,1,1,29,12,18,3,0.0,0.0,0.08333333333333333,0.29479028653552297,0.18332456832181196,0.896551724137931
cicids2017,CICIDS-2017,0.6,1,ablation_hard,5,5,78,34,42,5,0.0,0.0,0.3235294117647059,0.24451542004762275,0.14114994544621468,0.9358974358974359
cicids2017,CICIDS-2017,0.6,1,ablation_hard,6,6,81,36,51,2,0.0,0.0,0.19444444444444445,0.21378520850818644,0.10420650555156868,0.9753086419753086
cicids2017,CICIDS-2017,0.6,1,ablation_hard,9,9,49,37,29,0,0.0,0.0,0.40540540540540543,0.23352384071572224,0.09505531938164462,1.0
cicids2017,CICIDS-2017,0.6,1,ablation_hard,10,10,22,9,15,2,0.0,0.0,0.1111111111111111,0.32505446251482617,0.16756279357539583,0.9090909090909091
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,1,1,29,12,18,3,1.0,1.0,0.08333333333333333,0.29479028653552297,0.18332456832181196,0.8584058532797252
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,5,5,78,34,42,5,1.0,1.0,0.38235294117647056,0.24451542004762275,0.14114994544621468,0.8468539452669986
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,6,6,81,36,51,2,1.0,1.0,0.16666666666666666,0.21378520850818644,0.10420650555156868,0.8620040994625938
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,9,9,49,37,29,0,0.0,0.0,0.32432432432432434,0.23352384071572224,0.09505531938164462,0.871555945016777
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,10,10,22,9,15,2,1.0,1.0,0.1111111111111111,0.32505446251482617,0.16756279357539583,0.8841885251977188
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,1,1,29,12,18,3,0.0,1.0,0.08333333333333333,0.29479028653552297,0.18332456832181196,0.8584058532797252
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,5,5,78,34,42,5,0.0,1.0,0.29411764705882354,0.24451542004762275,0.14114994544621468,0.8468539452669986
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,6,6,81,36,51,2,0.0,1.0,0.19444444444444445,0.21378520850818644,0.10420650555156868,0.8620040994625938
